ID;MATCH_ID;EVENT_ID;TYPE_ID;PERIOD_ID;TIME_MIN;TIME_SEC;TEAM_ID;X;Y;PLAYER_ID;PLAYER_NAME;PENALTY;HEAD;RIGHT_FOOTED;OTHER_BODY_PART;REGULAR_PLAY;FAST_BREAK;SET_PIECE;FROM_CORNER;FREE_KICK;OWN_GOAL;ASSISTED;LEFT_FOOTED;TARGETED_LOW_LEFT;TARGETED_HIGH_LEFT;TARGETED_LOW_CENTER;TARGETED_HIGH_CENTER;TARGETED_LOW_RIGHT;TARGETED_HIGH_RIGHT;BLOCKED;TARGETED_CLOSE_LEFT;TARGETED_CLOSE_RIGHT;TARGETED_CLOSE_HIGH;TARGETED_CLOSE_LEFT_AND_HIGH;TARGETED_CLOSE_RIGHT_AND_HIGH;PROJECTED_GOAL_MOUTH_Y;PROJECTED_GOAL_MOUTH_Z;DEFLECTION;HIT_WOODWORK;BIG_CHANCE;INDIVIDUAL_CHANCE;HIT_RIGHT_POST;HIT_LEFT_POST;HIT_BAR;OUT_ON_SIDELINE;KICKOFF;FIRST_TOUCH;NOT_ASSISTED;EVENT_TYPE_NAME;TEAM_NAME;IS_GOAL;GOAL_CNT;RESULT;TEAM_SIDE;X_REL_PC;Y_REL_PC;X_REL_M;Y_REL_M;X_REL_M_TEAM;Y_REL_M_TEAM;DISTANCE;DISTANCE_BUCKET;EVENT_COUNT;FOOTBALL_PITCH_CELL;MATCH_DATE
1137230874;917uiluoxrn70n4gv9zx65xey;563;13;2;74;25;;87,9;47,6;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;39,3;5,6;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;12,1;-2,4;12,584;-1,632;91,416;-1,632;12,68938454;13;1;X12|Y-2;12-ago-17
1350635747;917uiluoxrn70n4gv9zx65xey;704;15;2;92;39;;73,6;56,9;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;Y;N;N;N;N;N;N;N;46,1;18,4;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;away;26,4;6,9;27,456;4,692;76,544;4,692;27,85402664;28;1;X26|Y4;12-ago-17
1524366389;912k2hi3pc31oz4yfijtgwne2;16;15;1;1;43;;87,4;54,9;;anonymized;N;N;N;N;Y;N;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;48,7;5,7;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;12,6;4,9;13,104;3,332;90,896;3,332;13,52098517;14;1;X12|Y2;12-ago-17
1112320078;912k2hi3pc31oz4yfijtgwne2;167;15;1;19;49;;73,9;64,3;;anonymized;N;N;N;N;Y;N;N;N;N;N;N;Y;Y;N;N;N;N;N;N;N;N;N;N;N;52,5;13,9;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;away;26,1;14,3;27,144;9,724;76,856;9,724;28,83319115;29;1;X26|Y8;12-ago-17
1505394314;912k2hi3pc31oz4yfijtgwne2;189;13;1;22;32;;99;46,4;;anonymized;N;N;Y;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;99,7;5,6;N;N;Y;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;1;-3,6;1,04;-2,448;102,96;-2,448;2,65975638;3;1;X0|Y-4;12-ago-17
1825684497;912k2hi3pc31oz4yfijtgwne2;207;16;1;25;10;;93;51,8;;anonymized;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;N;53,9;29,1;N;N;Y;N;N;N;N;N;N;Y;N;Shot;anonymized;Y;1;Goal;away;7;1,8;7,28;1,224;96,72;1,224;7,382179624;8;1;X6|Y0;12-ago-17
1216221523;912k2hi3pc31oz4yfijtgwne2;253;15;1;27;10;;84,2;69,3;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;home;15,8;19,3;16,432;13,124;16,432;-13,124;21,02974084;22;1;X16|Y12;12-ago-17
1127871739;912k2hi3pc31oz4yfijtgwne2;248;13;1;31;54;;93,2;47,5;;anonymized;N;Y;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N;N;N;58;8,3;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;6,8;-2,5;7,072;-1,7;96,928;-1,7;7,2734575;8;1;X6|Y-2;12-ago-17
1736225353;9f0cekhz9f0ddd0hen44ue8ve;349;13;1;43;58;;96,3;71,7;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;29,7;18,1;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;home;3,7;21,7;3,848;14,756;3,848;-14,756;15,24947999;16;1;X2|Y14;18-nov-17
1372400108;9f0cekhz9f0ddd0hen44ue8ve;450;15;1;46;3;;86,5;68,6;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;13,5;18,6;14,04;12,648;89,96;12,648;18,89691784;19;1;X14|Y12;18-nov-17
