PLAYER_ID;PLAYER_NAME;TEAM_NAME;TOTAL_XG;GOALS;SHOT_COUNT;XG_PER_SHOT
3uarn41m5l6szfj28d0hfaa51;T. Hemed;Brighton & Hove Albion;2,235103916;2;17;0,131476701
c7mccelov1pa1yesyw6297u1h;C. Clark;Newcastle United;1,786524661;2;11;0,162411333
6r4adhp9hu4ux7egwgd8j2thx;N. Redmond;Southampton;2,528041017;1;44;0,057455478
2lkra7wic5b481l7qybjh8lx;A. Carrillo;Watford;2,103939347;1;24;0,087664139
az7wa6km1zhvsb8y4mndlogyd;E. Dier;Tottenham Hotspur;1,999169078;0;32;0,062474034
71nsfjudh8t9j6ms8yi2xa5sl;C. Daniels;AFC Bournemouth;0,978553669;1;20;0,048927683
5ch5dk1z9opa2iwd64kb4e5sl;S. Ag?¨ero;Manchester City;12,06173584;17;90;0,134019287
80bmtj7l07ohb2h475w955n9;A. Smith;AFC Bournemouth;0,710550464;1;13;0,054657728
c5a7z6vphv9tp9ddid5jnrnx1;N. Matié?;Manchester United;1,00089918;1;18;0,05560551
38ofcw6ufii5608hus139lf4l;D. Janmaat;Watford;1,584294674;3;24;0,066012278
b9wew8z92aj36vvxfj3q7kxcl;L. Depoitre;Huddersfield Town;3,272367028;6;25;0,130894681
cri911368k72cmkx9gartxc5x;D. Drinkwater;Chelsea;0,27516504;1;6;0,04586084
3xqbru6q5dvtrhv6coe7retp1;J. Milner;Liverpool;1,498049002;0;21;0,071335667
8rfgwq7hbi4a3imda845vdyvp;M. Lemina;Southampton;1,187337337;1;23;0,051623362
4k0ni039sbjs4sqipk4v7k79x;D. S?≠nchez;Tottenham Hotspur;0,477626155;0;9;0,053069573
8wd7wh93l9cldq7x0nbtul32t;J. Wilshere;Arsenal;1,368207341;1;15;0,091213823
2wwo7wcxz4gfy0ubkzynvrsnp;S. March;Brighton & Hove Albion;1,747041581;1;28;0,062394342
866gq5o77uyc651lpkrt6w3px;G. Carrillo;Southampton;1,104179682;0;11;0,100379971
1xscywgyfqisqexmpfvbf9g45;H. Mkhitaryan;Manchester United;0,823411642;1;15;0,054894109
4l8kwjx02xaep34d743vwvx05;P. Jones;Manchester United;0,529774998;0;2;0,264887499
45zetxtrvjb3muvcrr9b5it3p;M. J??rgensen;Huddersfield Town;1,987853226;0;13;0,152911787
6jgocc12bori2wygyu07c082x;D. Rice;West Ham United;0,302691657;0;5;0,060538331
x1qsrbva1nlv7nvmk2an19ed;Jes??;Stoke City;0,971732764;1;13;0,074748674
3gem1jrrkgye0omb88fk1lsk5;J. Stones;Manchester City;0,73222581;0;11;0,066565983
3v6c5omsqug2bw3l8507fxbrp;T. Smith;Huddersfield Town;0,323584998;0;8;0,040448125
asyzhp3qu95vmzdbau6nmoic5;M. Darmian;Manchester United;0,04472523;0;2;0,022362615
kvchpptoxgvcyiv358w9gtzp;J. Matip;Liverpool;2,176934896;1;11;0,197903172
e211nih87ou9t8crzjbbzhexh;Jos?? Fonte;West Ham United;0,623881168;0;8;0,077985146
5ljs2bj3wwiurcyxiwka2i8d1;C. Kabasele;Watford;0,742965138;2;10;0,074296514
9fvo9v5e9r0ptibied6ejv3zd;S. McTominay;Manchester United;0,064349365;0;1;0,064349365
b6rbjpzuq9vo9kdil1tlyl2ad;Roque Mesa;Swansea City;0,314409212;0;7;0,044915602
2j8y06wuinnx87eetadj55zo5;N. Chadli;West Bromwich Albion;0,207402957;1;4;0,051850739
6akzpi6rd6qq0ke07ojnhpoet;A. S??rloth;Crystal Palace;0,462885746;0;7;0,066126535
9q6c7nbjhgwp2yrelznmk1gb9;F. Delph;Manchester City;0,434663258;1;10;0,043466326
7goksqm8rew8chdswsx5cidhx;David Luiz;Chelsea;0,833838564;1;11;0,075803506
a7bs2dkwmy1cjryql6z3n9kut;F. Coquelin;Arsenal;0,07961077;0;1;0,07961077
57gg79gxvcfqtaoi0ruog7wmh;R. Holding;Arsenal;0,103061508;0;1;0,103061508
8d04q3yp2kouwog0lj0s7ew2x;A. Lookman;Everton;0,147784521;0;3;0,049261507
